id,year,region,lat,lon,type
477,2015,Tigray,13.3742,39.0925,Farm trial
478,2013,Tigray,13.3742,39.0925,Farm trial
479,2013,Tigray,13.3742,39.0925,Farm trial
480,2013,Tigray,13.3742,39.0925,Farm trial
481,2013,Tigray,13.3742,39.0925,Farm trial
482,2015,Tigray,13.3742,39.0925,Farm trial
483,2015,Tigray,13.3742,39.0925,Farm trial
484,2015,Tigray,13.3742,39.0925,Farm trial
485,2015,Tigray,13.3742,39.0925,Farm trial
486,2015,Tigray,13.3742,39.0925,Farm trial
487,2015,Tigray,13.3742,39.0925,Farm trial
488,2015,Tigray,13.3742,39.0925,Farm trial
489,2013,Tigray,13.3742,39.0925,Farm trial
490,2013,Tigray,13.3742,39.0925,Farm trial
491,2015,Tigray,13.3904,39.0728,Farm trial
492,2015,Tigray,13.3742,39.0925,Farm trial
493,2015,Tigray,13.365,39.0736,Farm trial
494,2015,Tigray,13.3742,39.0925,Farm trial
495,2013,Tigray,13.365,39.0736,Farm trial
496,2013,Tigray,13.3742,39.0925,Farm trial
497,2015,Tigray,13.3742,39.0925,Farm trial
498,2013,Tigray,13.3742,39.0925,Farm trial
499,2015,Tigray,13.3742,39.0925,Farm trial
500,2013,Tigray,13.3742,39.0925,Farm trial
501,2013,Tigray,13.3742,39.0925,Farm trial
502,2015,Tigray,13.3659,39.1124,Farm trial
503,2015,Tigray,13.3742,39.0925,Farm trial
504,2015,Tigray,13.3946,39.0748,Farm trial
505,2013,Tigray,13.3742,39.0925,Farm trial
506,2015,Tigray,13.3742,39.0925,Farm trial
507,2013,Tigray,13.3742,39.0925,Farm trial
508,2013,Tigray,13.3742,39.0925,Farm trial
509,2015,Tigray,13.3918,39.0847,Farm trial
510,2015,Tigray,13.3742,39.0925,Farm trial
511,2015,Tigray,13.3742,39.0925,Farm trial
512,2013,Tigray,13.3742,39.0925,Farm trial
513,2013,Tigray,13.3742,39.0925,Farm trial
514,2013,Tigray,13.3742,39.0925,Farm trial
515,2013,Tigray,13.3742,39.0925,Farm trial
516,2013,Tigray,13.3605,39.1154,Farm trial
517,2015,Tigray,13.3742,39.0925,Farm trial
518,2013,Tigray,13.3742,39.0925,Farm trial
519,2015,Tigray,13.3742,39.0925,Farm trial
520,2015,Tigray,13.3742,39.0925,Farm trial
521,2015,Tigray,13.3742,39.0925,Farm trial
522,2015,Tigray,13.3742,39.0925,Farm trial
523,2013,Tigray,13.3742,39.0925,Farm trial
524,2013,Tigray,13.3918,39.0847,Farm trial
525,2013,Tigray,13.3742,39.0925,Farm trial
526,2013,Tigray,13.3742,39.0925,Farm trial
527,2013,Tigray,13.3742,39.0925,Farm trial
528,2014,Oromia,9.918583,39.17775,Farm trial
529,2013,Tigray,13.3742,39.0925,Farm trial
530,2013,Tigray,13.3742,39.0925,Farm trial
531,2015,Tigray,13.3742,39.0925,Farm trial
532,2013,Tigray,13.3742,39.0925,Farm trial
533,2013,Tigray,13.3742,39.0925,Farm trial
534,2015,Tigray,13.3742,39.0925,Farm trial
535,2013,Tigray,13.3742,39.0925,Farm trial
536,2015,Tigray,13.3742,39.0925,Farm trial
537,2015,Tigray,13.3742,39.0925,Farm trial
538,2015,Tigray,13.3742,39.0925,Farm trial
539,2015,Tigray,13.3846,39.0824,Farm trial
540,2013,Tigray,13.3742,39.0925,Farm trial
541,2013,Tigray,13.3742,39.0925,Farm trial
542,2015,Tigray,13.3742,39.0925,Farm trial
543,2014,Oromia,8.948833,39.095972,Farm trial
544,2014,Oromia,9.856944,39.190333,Farm trial
546,2014,Oromia,8.775556,39.268667,Farm trial
547,2013,Tigray,13.3742,39.0925,Farm trial
548,2013,Tigray,13.3742,39.0925,Farm trial
549,2015,Tigray,13.3742,39.0925,Farm trial
550,2015,Tigray,13.3742,39.0925,Farm trial
551,2015,Tigray,13.3742,39.0925,Farm trial
552,2015,Tigray,13.3742,39.0925,Farm trial
553,2015,Tigray,13.3742,39.0925,Farm trial
554,2013,Tigray,13.3742,39.0925,Farm trial
556,2013,Tigray,13.3742,39.0925,Farm trial
558,2015,Oromia,8.787167,39.235361,Farm trial
559,2015,Oromia,8.948306,39.083861,Farm trial
560,2015,Oromia,8.726778,39.234194,Farm trial
561,2015,Oromia,8.73725,39.236611,Farm trial
562,2015,Oromia,8.735056,39.237944,Farm trial
563,2015,Oromia,8.735083,39.234639,Farm trial
565,2015,Oromia,8.949222,39.179528,Farm trial
566,2014,Amhara,11.64413,38.92404,Farm trial
567,2015,Oromia,8.761972,39.247333,Farm trial
568,2014,Oromia,8.951,39.179056,Farm trial
569,2015,Oromia,8.762778,39.249972,Farm trial
570,2014,Oromia,8.948417,39.192083,Farm trial
571,2014,Oromia,9.874694,39.170194,Farm trial
572,2013,Tigray,13.3742,39.0925,Farm trial
573,2015,Oromia,8.946417,39.093861,Farm trial
574,2014,Oromia,8.764639,39.273667,Farm trial
575,2014,Oromia,9.801222,39.181111,Farm trial
576,2015,Oromia,9.053278,39.180889,Farm trial
577,2015,Oromia,8.781944,39.230361,Farm trial
578,2015,Tigray,13.3742,39.0925,Farm trial
579,2015,Oromia,8.773722,39.240111,Farm trial
580,2015,Oromia,8.944028,39.175028,Farm trial
581,2014,Oromia,9.871083,39.178278,Farm trial
582,2014,Amhara,11.7362,38.74802,Farm trial
583,2014,Amhara,11.81709,38.67111739,Farm trial
585,2014,Amhara,11.718192,38.961236,Farm trial
588,2014,Amhara,11.718192,38.961236,Farm trial
589,2014,Amhara,11.720919,38.968704,Farm trial
590,2014,Amhara,11.82840382,38.58835316,Farm trial
591,2014,Amhara,11.706233,38.977893,Farm trial
594,2014,Oromia,9.896056,39.202806,Farm trial
598,2014,Amhara,11.67813,38.69022,Farm trial
599,2014,Oromia,8.733611,39.206056,Farm trial
600,2014,Amhara,11.67813,38.69022,Farm trial
601,2014,Oromia,9.855444,39.189944,Farm trial
602,2014,Oromia,9.896,39.2105,Farm trial
603,2014,Amhara,11.731456,38.751456,Farm trial
604,2014,Oromia,9.798667,39.183778,Farm trial
605,2015,Oromia,8.941833,39.187889,Farm trial
606,2015,Oromia,9.056833,39.166806,Farm trial
607,2014,Oromia,8.784306,39.226778,Farm trial
608,2015,Tigray,13.3742,39.0925,Farm trial
609,2013,Tigray,13.3742,39.0925,Farm trial
610,2015,Oromia,8.755556,39.235833,Farm trial
611,2015,Oromia,8.761972,39.247333,Farm trial
612,2014,Oromia,8.749472,39.229472,Farm trial
613,2014,Oromia,9.799361,39.183056,Farm trial
614,2014,Oromia,9.799444,39.185611,Farm trial
615,2014,Oromia,8.739361,39.221722,Farm trial
616,2015,Oromia,9.056833,39.166806,Farm trial
617,2015,Oromia,9.801222,39.181111,Farm trial
